20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,
20,21.8767,23.7536,25.6308,27.5087,29.3873,31.2668,33.1475,35.0294,36.9129,38.7981,40.6851,42.5741,44.4653,46.3589,48.2551,50.1539,52.0556,53.9602,55.868,57.7791,59.6937,61.6117,63.5335,65.4591,67.3885,69.322,71.2597,73.2015,75.1477,77.0983,79.0533,81.0129,82.9771,84.946,86.9196,88.8979,90.881,92.8689,94.8616,96.8592,
20,21.7536,23.5075,25.2622,27.0181,28.7755,30.5347,32.2962,34.0604,35.8275,37.598,39.3722,41.1504,42.9331,44.7204,46.5128,48.3106,50.1141,51.9236,53.7394,55.5617,57.3909,59.2271,61.0708,62.922,64.7811,66.6482,68.5236,70.4074,72.2998,74.2011,76.1112,78.0305,79.9589,81.8967,83.8439,85.8005,87.7668,89.7426,91.7281,93.7233,
20,21.6308,23.2622,24.8948,26.529,28.1656,29.8049,31.4476,33.0943,34.7455,36.4016,38.0633,39.7311,41.4055,43.087,44.776,46.4731,48.1787,49.8932,51.6172,53.3511,55.0952,56.8499,58.6157,60.3928,62.1817,63.9826,65.7959,67.6219,69.4607,71.3128,73.1782,75.0572,76.95,78.8568,80.7777,82.7128,84.6622,86.626,88.6043,90.597,
20,21.5087,23.0181,24.529,26.0423,27.5585,29.0785,30.603,32.1327,33.6684,35.2108,36.7606,38.3184,39.885,41.4611,43.0472,44.644,46.2522,47.8723,49.505,51.1507,52.8101,54.4837,56.1719,57.8753,59.5944,61.3294,63.0809,64.8493,66.6348,68.4379,70.2588,72.0978,73.9551,75.831,77.7257,79.6393,81.572,83.5238,85.4949,87.4852,
20,21.3873,22.7755,24.1656,25.5585,26.9552,28.3566,29.7636,31.1771,32.5981,34.0274,35.4659,36.9145,38.374,39.8452,41.3291,42.8263,44.3377,45.8639,47.4058,48.964,50.5393,52.1322,53.7434,55.3735,57.0231,58.6927,60.3828,62.0939,63.8264,65.5808,67.3574,69.1566,70.9787,72.824,74.6927,76.5849,78.501,80.4409,82.4048,84.3928,
20,21.2668,22.5347,23.8049,25.0785,26.3566,27.6403,28.9307,30.2289,31.536,32.8531,34.1813,35.5214,36.8747,38.242,39.6244,41.0227,42.438,43.8711,45.323,46.7943,48.2861,49.7989,51.3337,52.8911,54.4718,56.0764,57.7056,59.3599,61.0399,62.746,64.4787,66.2384,68.0255,69.8404,71.6832,73.5543,75.4538,77.3819,79.3388,81.3244,
20,21.1475,22.2962,23.4476,24.603,25.7636,26.9307,28.1056,29.2896,30.484,31.6899,32.9087,34.1415,35.3895,36.6538,37.9357,39.2361,40.5562,41.8971,43.2597,44.645,46.054,47.4876,48.9467,50.432,51.9444,53.4847,55.0535,56.6516,58.2795,59.9377,61.627,63.3476,65.1001,66.8848,68.702,70.5521,72.4353,74.3517,76.3015,78.2848,
20,21.0294,22.0604,23.0943,24.1327,25.1771,26.2289,27.2896,28.3607,29.4435,30.5395,31.6502,32.7767,33.9206,35.0831,36.2655,37.4691,38.6952,39.9448,41.2191,42.5194,43.8465,45.2017,46.5859,48,49.4449,50.9216,52.4307,53.9731,55.5495,57.1604,58.8066,60.4886,62.2068,63.9617,65.7537,67.583,69.45,71.3548,73.2977,75.2786,
20,20.9129,21.8275,22.7455,23.6684,24.5981,25.536,26.484,27.4435,28.4162,29.4037,30.4076,31.4293,32.4704,33.5323,34.6166,35.7246,36.8577,38.0172,39.2044,40.4207,41.6671,42.9448,44.2551,45.5988,46.9771,48.3909,49.8411,51.3286,52.8541,54.4184,56.0221,57.6658,59.3502,61.0757,62.8427,64.6515,66.5026,68.396,70.332,72.3106,
